accepting,acceptng
eggs,egs
eighth,eith
elaborate,elabrat
elaborate,elabrate
elbow,elbo
elbows,elbos
elder,eldr
elderly,eldrly
elders,eldrs
electing,electng
electrical,electricl
elegant,elegnt
element,elemnt
elementary,elementry
elements,elemnts
elephant,elefnt
elephants,elefnts
eleven,elevn
eligible,elijbl
eliminate,elimnate
eliminates,elimnates
elsewhere,elswher
embarrassed,embarasd
emerge,emerj
emergency,emerjncy
emerges,emerjs
emerging,emerjng
emotional,emotionl
emotionally,emotionly
emphasis,emfasis
emphasize,emfasize
emphasizes,emfasizes
employer,employr
employers,employrs
employing,employng
employment,employmnt
empty,emty
emptying,emtying
enacting,enactng
encounter,encountr
encountering,encountrng
encounters,encountrs
encourage,encuraj
encourages,encurajs
encouraging,encurajng
enemy,enmy
energy,enrjy
enforcement,enforcemnt
engage,engaje
engagement,engajemnt
engagements,engajemnts
engages,engajes
engine,enjn
engineer,enjneer
engineering,enjneerng
engineers,enjneers
engines,enjns
enjoying,enjoyng
enormous,enormus
enrolling,enrolng
enterprise,entrprise
enterprises,entrprises
entertainment,entrtainmnt
entertainments,entrtainmnts
entrance,entrnce
entrances,entrnces
entrepreneur,entreprener
entrepreneurs,entrepreners
envelope,envlope
envelopes,envlopes
environment,environmnt
environmental,environmentl
environments,environmnts
equally,equaly
equipment,equipmnt
equipments,equipmnts
equivalent,equivlnt
equivalents,equivlnts
error,err
errors,errs
essay,esay
essays,esays
essence,esnce
essences,esnces
essential,esential
essentially,esentialy
essentials,esentials
establishing,establishng
establishment,establishmnt
establishments,establishmnts
estimate,estmat
estimate,estmate
estimated,estmated
estimates,estmates
estimates,estmats
ethical,ethicl
evenings,evenngs
eventually,eventuly
everybody,evrybody
everyday,evryday
everywhere,evrywher
evident,evidnt
evolution,evlution
evolve,evolv
evolves,evolvs
exacting,exactng
examination,examnation
examinations,examnations
examine,examn
examines,examns
example,exampl
examples,exampls
exceed,exeed
exceeding,exeedng
exceeds,exeeds
excellent,exlnt
except,exept
excepting,exeptng
exception,exeption
exceptions,exeptions
excessive,exessiv
exchange,exchanje
exchanges,exchanjes
excited,exited
excitement,exitemnt
excitements,exitemnts
exciting,exiting
exclusive,exclusiv
exclusively,exclusivly
executive,executiv
executives,executivs
exercise,exrcise
exercises,exrcises
exhaust,exaust
exhausting,exaustng
exhausts,exausts
exhibit,exibit
exhibiting,exibitng
exhibition,exibition
exhibitions,exibitions
exhibits,exibits
existence,existnce
existing,existng
exiting,exitng
expanding,expandng
expected,expectd
expensive,expensiv
experiment,experimnt
experimental,experimentl
experimenting,experimntng
experiments,experimnts
explanation,explnation
explanations,explnations
exploiting,exploitng
exploration,explration
explorations,explrations
explore,explor
explores,explors
exporting,exportng
exposure,exposur
exposures,exposurs
expressing,expresng
extended,extendd
extending,extendng
extensive,extensiv
external,externl
externals,externls
extraordinary,extrordnry
eye,y
eyebrow,ybrow
eyebrows,ybrows
eyes,ys
factory,factry
faculty,faclty
failing,failng
failure,failur
failures,failurs
fainting,faintng
familiar,familir
familiars,familirs
famous,famus
farmer,farmr
farmers,farmrs
farming,farmng
fascinating,fasnating
fashion,fashn
fashions,fashns
faster,fastr
fasting,fastng
fatigue,fatige
fatigues,fatiges
fault,falt
faults,falts
favorable,favorabl
favoring,favorng
favorite,favorit
favorites,favorits
fearing,fearng
feather,fethr
feathers,fethrs
feature,featur
features,featurs
fee,fe
feedback,feedbak
feeding,feedng
feelings,feelngs
fees,fes
fellow,felo
fellows,felos
feminist,femnist
feminists,femnists
festival,festivl
festivals,festivls
fewer,fewr
fighter,fytr
fighters,fytrs
filter,filtr
filtering,filtrng
filters,filtrs
findings,findngs
finger,fingr
fingering,fingrng
fingers,fingrs
finishing,finishng
fiscal,fiscl
fisherman,fishrman
fishing,fishng
fixed,fixd
fixing,fixng
flashing,flashng
flavoring,flavorng
flee,fle
fleeing,fleing
flees,fles
fleeting,fleetng
flexibility,flexbility
flexible,flexbl
flight,flyt
flights,flyts
floating,floatng
flood,flod
flooding,flodng
floods,flods
flow,flo
flower,flowr
flowering,flowrng
flowers,flowrs
flowing,floing
flows,flos
flying,flyng
folding,foldng
fooling,foolng
football,footbal
footballs,footbals
forehead,forhed
foreheads,forheds
foreigner,forenr
foreigners,forenrs
forever,forevr
forgive,forgiv
forking,forkng
formal,forml
formerly,formrly
fortunately,fortunatly
forward,forwrd
forwarding,forwrdng
forwards,forwrds
foster,fostr
fostering,fostrng
fosters,fostrs
founder,foundr
foundering,foundrng
founders,foundrs
founding,foundng
fragile,frajl
fragment,fragmnt
fragments,fragmnts
freedom,fredm
freedoms,fredms
freely,frely
freeze,freze
freezes,frezes
friendly,frendly
friendship,frendship
friendships,frendships
frontier,frontir
frontiers,frontirs
fronting,frontng
frowning,frownng
fruiting,fruitng
fucking,fukng
fueling,fuelng
fully,fuly
functional,functionl
functioning,functionng
fundamental,fundmentl
fundamentals,fundmentls
furniture,furnitur
furthermore,furthrmor
gaining,gainng
gallery,galry
garage,garaj
garages,garajs
garbage,garbaj
garden,gardn
gardening,gardnng
gardens,gardns
gasoline,gasline
gather,gathr
gathering,gathrng
gatherings,gathrngs
gathers,gathrs
gearing,gearng
gender,jendr
gene,jene
general,jenrl
generally,jenrly
generals,jenrls
generate,jenrate
generates,jenrates
generation,jenration
generations,jenrations
generous,jenrus
genes,jenes
genetic,jenetic
genetics,jenetics
genius,jenius
genre,jenre
genres,jenres
gentle,jentl
gentleman,jentlman
gently,jently
genuine,jenuin
gesture,jestur
gestures,jesturs
ghost,gost
ghosts,gosts
giant,jiant
giants,jiants
gifted,giftd
girlfriend,girlfrend
girlfriends,girlfrends
given,givn
glimpse,glimps
glove,glov
gloves,glovs
golden,goldn
golfing,golfng
govern,govrn
governing,govrnng
governor,govrnr
governors,govrnrs
governs,govrns
gradually,graduly
graduate,graduat
graduates,graduats
grandchild,granchild
grandfather,granfathr
grandfathers,granfathrs
grandmother,granmothr
grandmothers,granmothrs
grandparent,granparent
grandparents,granparents
granting,grantng
grasping,graspng
graying,grayng
greatest,gretst
greatly,gretly
greening,greenng
greeting,greetng
guarantee,garantee
guaranteeing,garanteeing
guarantees,garantees
guard,gard
guarding,gardng
guards,gards
guess,gess
guessing,gesng
guest,gest
guests,gests
guidance,gidance
guide,gide
guidelines,gidelines
guides,gides
guilt,gilt
guilts,gilts
guilty,gilty
guitar,gitar
guitars,gitars
gym,jym
hall,hal
halls,hals
hallway,halway
hallways,halways
handle,handl
handles,handls
handsome,hansm
hanging,hangng
harassment,harasmnt
harming,harmng
harmony,harmny
harvesting,harvestng
hauling,haulng
hazard,hazrd
hazards,hazrds
headache,hedache
headaches,hedaches
headline,hedline
headlines,hedlines
headquarters,hedquartrs
healing,healng
healthy,helthy
hearings,hearngs
heating,heatng
heaven,hevn
heavens,hevns
heavily,hevily
heavy,hevy
heeling,heelng
height,hyt
heights,hyts
helicopter,helicoptr
helicopters,helicoptrs
hell,hel
hello,helo
hells,hels
heritage,heritaj
hidden,hidn
highlight,hylyt
highlighting,hylytng
highlights,hylyts
highly,hyly
highway,hyway
highways,hyways
hill,hil
hills,hils
hinting,hintng
historical,historicl
historically,historicly
hockey,hocky
holidaying,holidayng
honest,onest
honestly,onestly
honey,hony
honor,onr
honoring,onrng
honors,onrs
hooking,hookng
hopefully,hopefuly
horrible,horibl
horror,horr
horrors,horrs
hostage,hostaj
hostages,hostajs
hostile,hostl
household,houshold
households,housholds
housing,housng
huge,huje
humoring,humorng
hunger,hungr
hungers,hungrs
hunter,huntr
hunters,huntrs
hunting,huntng
hurricane,huricn
hurricanes,huricns
hurting,hurtng
identical,identicl
ideological,ideolojicl
ideology,ideolojy
ignore,ignor
ignores,ignors
ill,il
illegal,ilegal
illegals,ilegals
illness,ilness
ills,ils
illusion,ilusion
illusions,ilusions
illustrate,ilustrate
illustrates,ilustrates
image,imaj
images,imajs
imagination,imajnation
imaginations,imajnations
imagine,imajn
imagines,imajns
immediate,imediat
immediately,imediatly
immigrant,imigrnt
immigrants,imigrnts
immigration,imigration
immune,imune
implement,implmnt
implementation,implmntation
implementing,implmntng
implements,implmnts
implying,implyng
importance,importnce
importantly,importntly
importing,importng
impossible,imposbl
impressing,impresng
impressive,impressiv
improvement,improvemnt
improvements,improvemnts
incentive,incentiv
incentives,incentivs
incident,incidnt
incidents,incidnts
income,incm
incomes,incms
incorporate,incorprate
incorporates,incorprates
increased,incresed
increasing,incresing
increasingly,incresingly
incredible,incredbl
incredibly,incredbly
independence,independnce
independent,independnt
independents,independnts
indigenous,indijnus
inevitable,inevitbl
inevitably,inevitbly
infant,infnt
infants,infnts
informal,informl
informing,informng
infrastructure,infrastructur
initially,initialy
initiative,initiativ
initiatives,initiativs
injure,injr
injury,injry
inner,inr
innocent,inocent
innocents,inocents
innovation,inovation
innovations,inovations
innovative,inovativ
inserting,insertng
insight,insyt
insights,insyts
insisting,insistng
inspector,inspectr
inspectors,inspectrs
inspiration,inspration
install,instal
installation,instlation
installations,instlations
installing,instalng
instance,instnce
instances,instnces
instant,instnt
instantly,instntly
instead,insted
institutional,institutionl
instructing,instructng
instructional,instructionl
instructor,instructr
instructors,instructrs
instrument,instrumnt
instruments,instrumnts
intellectual,intlectul
intellectuals,intlectuls
intelligence,intelijnce
intelligences,intelijnces
intelligent,intelijnt
intending,intendng
interact,intract
interacting,intractng
interaction,intraction
interactions,intractions
interested,intrestd
interfere,intrfere
interferes,intrferes
interior,interir
interiors,interirs
internal,internl
interpreting,interpretng
interrupt,intrupt
interrupting,intruptng
interrupts,intrupts
interval,intrvl
intervals,intrvls
intervention,intrvention
interventions,intrventions
interview,intrvew
interviewing,intrvewng
interviews,intrvews
intimate,intmat
intimate,intmate
intimates,intmates
intimates,intmats
inventing,inventng
inventory,invntry
investing,investng
investment,investmnt
investments,investmnts
investor,investr
investors,investrs
invisible,invisbl
involved,involvd
involvement,involvmnt
involvements,involvmnts
ironically,ironicly
ironing,ironng
island,iland
islands,ilands
jacket,jaket
jackets,jakets
jailing,jailng
jazz,jaz
jewelry,jewlry
journal,jurnl
journalism,jurnlism
journalist,jurnlist
journalists,jurnlists
journals,jurnls
journey,jurny
journeying,jurnying
journeys,jurnis
judge,juj
judges,jujs
judgment,jujmnt
judgments,jujmnts
juice,juce
juices,juces
jumping,jumpng
jungle,jungl
jungles,jungls
junior,junir
juniors,junirs
justifying,justifyng
key,ke
keys,kes
kick,kik
kicking,kikng
kicks,kiks
killer,kilr
killers,kilrs
killings,kilngs
kingdom,kingdm
kingdoms,kingdms
kissing,kisng
kitchen,kichn
kitchens,kichns
knee,ne
kneel,neel
kneeling,neelng
kneels,neels
knees,nes
knife,nife
knock,nok
knocking,nokng
knocks,noks
knowledge,nolej
known,nown
labeling,labelng
laboratory,labratry
laboring,laborng
lack,lak
lacking,lakng
lacks,laks
ladder,ladr
ladders,ladrs
landings,landngs
language,languaj
languages,languajs
large,larj
largely,larjly
latin,latn
latins,latns
latter,latr
laugh,laf
laughing,lafng
laughs,lafs
laughter,laftr
launching,launchng
lawyer,lawyr
lawyers,lawyrs
layer,layr
layering,layrng
layers,layrs
laying,layng
leadership,leadrship
leaderships,leadrships
leafing,leafng
league,leag
leagues,leags
leaning,leanng
leaping,leapng
leather,lethr
lecture,lectur
lectures,lecturs
legally,legaly
legend,lejnd
legends,lejnds
legislation,lejislation
legislative,lejislativ
legislator,lejislator
legislators,lejislators
legislature,lejislatur
legislatures,lejislaturs
legitimate,lejitmat
legitimate,lejitmate
lemon,lemn
lemons,lemns
lending,lendng
lesson,lesn
lessons,lesns
liberal,librl
liberals,librls
liberty,librty
library,libry
lifestyle,lifestyl
lifestyles,lifestyls
lifting,liftng
lightly,lytly
lightning,lytnng
limb,lim
limbs,lims
limited,limitd
limiting,limitng
linking,linkng
listener,lisnr
listeners,lisnrs
literally,litrly
literary,litry
literature,litratur
liver,livr
livers,livrs
living,livng
loading,loadng
lock,lok
locking,lokng
locks,loks
logic,lojic
logical,lojicl
looping,loopng
lovely,lovly
lover,lovr
lovers,lovrs
lower,loer
lower,lowr
lowering,loerng
lowering,lowrng
lowers,loers
lowers,lowrs
loyal,loyl
loyalty,loylty
luck,luk
lunching,lunchng
lunging,lunjng
magic,majic
mailing,mailng
maintaining,maintainng
maintenance,maintnnce
mall,mal
manage,manaj
management,manajmnt
managements,manajmnts
manager,manajr
managers,manajrs
manages,manajs
managing,manajng
manner,manr
manners,manrs
manufacturer,manufacturr
manufacturers,manufacturrs
manufacturing,manufacturng
marble,marbl
marbles,marbls
marching,marchng
margin,marjn
margins,marjns
marker,markr
markers,markrs
marking,markng
marriage,marrij
marriages,marrijs
married,marrid
masking,maskng
massing,masng
massive,massiv
master,mastr
mastering,mastrng
masters,mastrs
match,mach
matching,machng
mathematics,mathmatics
maximum,maxmm
mayor,mayr
mayors,mayrs
meaningful,meanngful
meanings,meanngs
meanwhile,meanwile
measure,mesur
measurement,mesurmnt
measurements,mesurmnts
measures,mesurs
mechanic,mecanic
mechanical,mecanicl
mechanics,mecanics
mechanism,mecnism
mechanisms,mecnisms
medal,medl
medals,medls
medicine,medcin
medicines,medcins
melting,meltng
membership,membrship
memberships,membrships
memory,memry
mental,mentl
mentally,mently
mentioning,mentionng
mentor,mentr
mentors,mentrs
merchant,merchnt
merchants,merchnts
message,messaj
messages,messajs
messing,mesng
metal,metl
metals,metls
metaphor,metafr
metaphors,metafrs
metropolitan,metropolitn
middle,midl
middles,midls
midnight,midnyt
milking,milkng
mill,mil
milling,milng
mills,mils
mineral,minrl
minerals,minrls
minimal,minml
minimize,minmize
minimum,minmm
minister,ministr
ministering,ministrng
ministers,ministrs
miracle,miracl
miracles,miracls
mirror,mirr
mirrors,mirrs
missile,misl
missiles,misls
missing,misng
missionary,missionry
mixed,mixd
mixing,mixng
mixture,mixtur
mixtures,mixturs
mobile,mobil
mobiles,mobils
moderate,modrat
moderate,modrate
moderates,modrates
moderates,modrats
modern,modrn
moderns,modrns
modifying,modifyng
molecule,molecul
molecules,moleculs
momentum,momentm
monitor,monitr
monitoring,monitrng
monitors,monitrs
monkey,monky
monkeys,monkis
monster,monstr
monsters,monstrs
monument,monumnt
monuments,monumnts
mooning,moonng
moreover,morover
mortgage,morgaj
mortgages,morgajs
motioning,motionng
motive,motiv
motives,motivs
motoring,motorng
mountain,mountn
mountains,mountns
mounting,mountng
mouthing,mouthng
multiple,multipl
multiples,multipls
municipal,municipl
murder,murdr
murdering,murdrng
murders,murdrs
muscle, 
muscles,musls
mushrooming,mushroomng
musical,musicl
musicals,musicls
muslim,muslm
muslims,muslms
mutter,mutr
muttering,mutrng
mutters,mutrs
mutual,mutul
mysterious,mysterius
mystery,mystry
nailing,nailng
narrative,narativ
narratives,narativs
narrow,naro
narrowing,naroing
narrows,naros
native,nativ
natives,nativs
naturally,natrly
necessarily,necesrily
necessary,necesry
neck,nek
necking,nekng
necks,neks
needle,needl
needles,needls
negative,negativ
negatives,negativs
neighbor,neibr
neighborhood,neibrhood
neighborhoods,neibrhoods
neighboring,neibrng
neighbors,neibrs
neither,neithr
nerve,nerv
nerves,nervs
nervous,nervus
nesting,nestng
neutral,neutrl
neutrals,neutrls
nevertheless,nevrthless
nightmare,nytmare
nightmares,nytmares
nomination,nomnation
nominations,nomnations
nominee,nomnee
nominees,nomnees
none,non
nonetheless,nonthless
normal,norml
normally,normly
normals,normls
northern,northrn
novel,novl
novels,novls
nowhere,nowher
numerous,numerus
o'clock,oclok
objecting,objectng
objective,objectiv
objectives,objectivs
observation,obsrvation
observations,obsrvations
observe,observ
observer,observr
observers,observrs
observes,observs
obstacle,obstacl
obstacles,obstacls
obtaining,obtainng
obvious,obvius
obviously,obviusly
occasion,ocasion
occasional,ocasionl
occasionally,ocasionly
occasions,ocasions
occupation,ocupation
occupations,ocupations
occupy,ocupy
occupying,ocupyng
ocean,ocen
oceans,ocens
odd,od
odds,ods
offender,ofendr
offenders,ofendrs
offense,ofense
offenses,ofenses
offensive,ofensiv
offerings,ofrngs
officially,oficialy
oh,o
openings,openngs
opera,opra
operas,opras
operate,oprate
operates,oprates
operating,oprating
operation,opration
operations,oprations
operator,oprator
operators,oprators
opponent,oponent
opponents,oponents
oppose,opose
opposed,oposed
opposes,oposes
opposite,oposit
opposites,oposits
opposition,oposition
oppositions,opositions
optimistic,optmistic
opting,optng
orange,oranj
oranges,oranjs
orbiting,orbitng
ordinary,ordnry
organ,orgn
organism,orgnism
organisms,orgnisms
organizational,orgnizationl
organize,orgnize
organized,orgnized
organizes,orgnizes
organs,orgns
origin,orijn
original,orijnl
originally,orijnly
originals,orijnls
origins,orijns
otherwise,othrwise
ought,ot
ourselves,ourselvs
outcome,outcom
outcomes,outcoms
outdoor,outdor
outdoors,outdors
outer,outr
outstanding,outstandng
oven,ovn
ovens,ovns
overall,overal
overalls,overals
overcome,overcom
overcomes,overcoms
overlooking,overlookng
overnight,overnyt
oversee,overse
overseeing,overseing
overwhelm,overwelm
overwhelming,overwelmng
owe,o
owes,os
owner,ownr
owners,ownrs
ownership,ownrship
oxygen,oxyjn
pack,pak
package,pakaj
packages,pakajs
packing,pakng
packs,paks
page,paje
pages,pajes
painter,paintr
painters,paintrs
painting,paintng
paintings,paintngs
pairing,pairng
panel,panl
panels,panls
panting,pantng
parental,parentl
parking,parkng
partially,partialy
participant,participnt
participants,participnts
particle,particl
particles,particls
particular,particulr
particulars,particulrs
partner,partnr
partners,partnrs
partnership,partnrship
partnerships,partnrships
passage,passaj
passages,passajs
passenger,pasnjr
passengers,pasnjrs
pastor,pastr
patch,pach
patching,pachng
patent,patnt
patents,patnts
pattern,patrn
patterning,patrnng
patterns,patrns
payment,paymnt
payments,paymnts
peace,pece
peaceful,peceful
peanut,penut
peanuts,penuts
peasant,pesnt
peasants,pesnts
peeling,peelng
peering,peerng
penalty,penlty
pepper,pepr
peppers,peprs
perceive,perceve
perceived,perceved
perceives,perceves
percentage,percentaj
percentages,percentajs
perfecting,perfectng
performer,performr
performers,performrs
performing,performng
permanent,permnnt
persisting,persistng
personality,persnality
personally,persnly
personnel,persnel
perspective,perspectiv
perspectives,perspectivs
phase,fase
phases,fases
phenomenon,fenomnn
philosophical,filosoficl
philosophy,filosofy
photo,foto
photograph,fotograf
photographer,fotografr
photographers,fotografrs
photographing,fotografng
photographs,fotografs
photography,fotografy
photos,fotos
phrase,frase
phrases,frases
physical,fysicl
physically,fysicly
physician,fysician
physicians,fysicians
physics,fysics
pickup,pikup
pill,pil
pillow,pilo
pillows,pilos
pills,pils
piloting,pilotng
pioneering,pioneerng
pitch,pich
pitcher,pichr
pitchers,pichrs
pitching,pichng
pizza,piza
pizzas,pizas
placement,placemnt
placements,placemnts
plain,plan
plaining,plainng
planner,planr
planners,planrs
planning,planng
plea,ple
pleading,pleadng
pleas,ples
pleasant,plesnt
please,plese
pleased,plesed
pleases,pleses
pleasure,plesur
pleasures,plesurs
plunge,plunj
plunges,plunjs
pocket,poket
pocketing,poketng
pockets,pokets
politically,politicly
poll,pol
polling,poling
polls,pols
pollution,polution
pooling,poolng
popular,populr
portrait,portrit
portraits,portrits
portraying,portrayng
positive,positiv
possess,posess
possessing,posesng
possession,posession
possessions,posessions
possibility,posbility
possibly,posbly
poster,postr
posters,postrs
posting,postng
potentially,potentialy
pounding,poundng
pour,por
pouring,porng
pours,pors
poverty,povrty
powder,powdr
powdering,powdrng
powders,powdrs
powerful,powrful
practical,practicl
practically,practicly
practitioner,practitionr
practitioners,practitionrs
praise,prase
praises,prases
prayer,prayr
prayers,prayrs
praying,prayng
preaching,preachng
precious,precius
predator,predatr
predators,predatrs
predicting,predictng
preference,prefrnce
preferences,prefrnces
pregnancy,pregnncy
pregnant,pregnnt
preliminary,prelimnry
premise,premis
preparation,prepration
preparations,preprations
presence,presnce
presences,presnces
present,presnt
presentation,presntation
presentations,presntations
presenting,presentng
presents,presnts
preserve,preserv
preserves,preservs
presidency,presidncy
pressing,presng
presumably,presumebly
pretending,pretendng
prevailing,prevailng
preventing,preventng
previous,previus
previously,previusly
principal,principl
principals,principls
principle,principl
principles,principls
printing,printng
prison,prisn
prisoner,prisnr
prisoners,prisnrs
prisons,prisns
privately,privatly
privilege,privlej
privileges,privlejs
procedure,procedur
procedures,procedurs
proceeding,proceedng
processor,procesr
processors,procesrs
proclaiming,proclaimng
productive,productiv
professional,professionl
professionals,professionls
professor,profesr
professors,profesrs
profiting,profitng
programming,programng
progressing,progresng
progressive,progressiv
progressives,progressivs
prohibiting,prohibitng
prominent,promnnt
promise,promis
promising,promisng
prompt,promt
prompting,promtng
prompts,promts
proper,propr
properly,proprly
property,proprty
prospecting,prospectng
protective,protectiv
protesting,protestng
province,provnce
provinces,provnces
psychological,syclojicl
psychologist,sycolojist
psychologists,sycolojists
psychology,sycolojy
publisher,publishr
publishers,publishrs
publishing,publishng
pumping,pumpng
punching,punchng
punishing,punishng
punishment,punishmnt
punishments,punishmnts
purchase,purchas
purple,purpl
purples,purpls
purpose,purpos
pursue,pursu
pursues,pursus
puzzle,puzl
puzzles,puzls
qualifying,qualifyng
quarter,quartr
quarterback,quartrbak
quartering,quartrng
quarters,quartrs
questing,questng
questionnaire,questionair
questionnaires,questionairs
quick,quik
quieting,quietng
rabbit,rabit
rabbits,rabits
rack,rak
racking,rakng
racks,raks
radical,radicl
radicals,radicls
rage,raje
rages,rajes
railing,railng
raining,rainng
ranching,ranchng
random,randm
range,ranje
ranges,ranjes
ranking,rankng
rather,rathr
rational,rationl
reacting,reactng
reader,readr
readers,readrs
readily,redily
readings,readngs
realm,relm
realms,relms
rearing,rearng
reasonable,reasnbl
rebel,rebl
rebels,rebls
rebuild,rebild
rebuilding,rebildng
recall,recal
recalling,recalng
recalls,recals
receiver,recever
receivers,recevers
recommend,recmend
recommendation,recmndation
recommendations,recmndations
recommending,recmendng
recommends,recmends
recordings,recordngs
recover,recovr
recovering,recovrng
recovers,recovrs
recovery,recovry
recruiting,recruitng
reference,refrnce
references,refrnces
reflecting,reflectng
reforming,reformng
refrigerator,refrijrator
refrigerators,refrijrators
refuge,refuje
refugee,refujee
refugees,refujees
refuges,refujes
regaining,regainng
regarding,regardng
regime,rejime
regimes,rejimes
region,rejon
regional,rejonl
regions,rejons
register,rejistr
registering,rejistrng
registers,rejistrs
regular,regulr
regularly,regulrly
regulars,regulrs
regulatory,regulatry
rejecting,rejectng
relative,relativ
relatively,relativly
relatives,relativs
relaxing,relaxng
release,relese
releases,releses
relevant,relevnt
reliability,relyability
reliable,relyabl
relieve,releve
relieves,releves
religion,relijn
religions,relijns
religious,relijus
reluctant,reluctnt
relying,relyng
remarkable,remarkbl
remarking,remarkng
reminder,remindr
reminders,remindrs
reminding,remindng
render,rendr
rendering,rendrng
renders,rendrs
rental,rentl
rentals,rentls
renting,rentng
repairing,repairng
repeatedly,repeatdly
repeating,repeatng
replacement,replacemnt
replacements,replacemnts
replying,replyng
reportedly,reportdly
reporter,reportr
reporters,reportrs
representation,represntation
representations,represntations
representative,representativ
representatives,representativs
republican,republicn
republicans,republicns
requesting,requestng
requirement,requiremnt
requirements,requiremnts
rescue,rescu
rescues,rescus
researcher,reserchr
researchers,reserchrs
resemble,resembl
resembles,resembls
reservation,resrvation
reservations,resrvations
reserve,reserv
reserves,reservs
residence,residnce
residences,residnces
resident,residnt
residents,residnts
resign,resyn
resigning,resynng
resigns,resyns
resistance,resistnce
resistances,resistnces
resisting,resistng
resolution,reslution
resolutions,reslutions
resolve,resolv
resolves,resolvs
resorting,resortng
respecting,respectng
respectively,respectivly
respondent,respondnt
respondents,respondnts
responding,respondng
responsibility,responsbility
responsible,responsbl
restaurant,restran
restaurants,restrans
restore,restor
restores,restors
restricting,restrictng
retailer,retailr
retailers,retailrs
retailing,retailng
retaining,retainng
retirement,retiremnt
retreating,retreatng
revealing,revealng
revelation,revlation
revelations,revlations
revenue,revnu
revenues,revnus
review,revew
reviewing,revewng
reviews,revews
revolution,revlution
revolutionary,revlutionry
revolutions,revlutions
rewarding,rewardng
rhetoric,retric
rhythm,rythm
rhythms,rythms
ribbon,ribn
ribbons,ribns
ridge,rij
ridges,rijs
ridiculous,ridiculus
ringing,ringng
rioting,riotng
ritual,ritul
rituals,rituls
river,rivr
rivers,rivrs
rock,rok
rocket,roket
rocketing,roketng
rockets,rokets
rocking,rokng
rocks,roks
roll,rol
rolling,rolng
rolls,rols
roofing,roofng
rooting,rootng
rough,ruf
roughly,rufly
rounding,roundng
route,rute
routes,rutes
routine,rutine
routinely,rutinely
routines,rutines
row,ro 
rowing,roing
rowing,rowng
rows,ros
royal,royl
royals,royls
rubber,rubr
rubbers,rubrs
ruining,ruinng
runner,runr
runners,runrs
running,runng
rushing,rushng
sack,sak
sacking,sakng
sacks,saks
sailing,sailng
salary,salry
salmon,samn
salting,saltng
sample,sampl
samples,sampls
sandwich,sanwich
satellite,satlite
satellites,satlites
satisfying,satisfyng
scandal,scandl
scandals,scandls
scatter,scatr
scattering,scatrng
scenario,senario
scenarios,senarios
scent,sent
scents,sents
schedule,scedul
schedules,sceduls
scheme,sceme
schemes,scemes
scholar,scolr
scholars,scolrs
scholarship,scolrship
scholarships,scolrships
science,sience
sciences,siences
scientific,sientific
scientist,sientist
scientists,sientists
score,scor
scores,scors
scramble,scrambl
scrambles,scrambls
scratch,scrach
scratching,scrachng
screaming,screamng
screening,screenng
screwing,screwng
sculpture,sculptur
sculptures,sculpturs
sea,se
sealing,sealng
search,serch
searching,serchng
seas,ses
seating,seatng
secondary,secndry
secretary,secretry
sector,sectr
sectors,sectrs
secular,seculr
seeding,seedng
seemingly,seemngly
segment,segmnt
segments,segmnts
seize,seze
seizes,sezes
seldom,seldm
selected,selectd
selecting,selectng
seller,selr
sellers,selrs
seminar,semnar
seminars,semnars
senate,senat
senator,senatr
senators,senatrs
senior,senir
seniors,senirs
sensitive,sensitiv
sentence,sentnce
sentences,sentnces
sentiment,sentmnt
sentiments,sentmnts
separate,seprat
separate,seprate
separates,seprates
separates,seprats
separation,sepration
separations,seprations
seriously,seriusly
servant,servnt
servants,servnts
serving,servng
servings,servngs
setting,setng
settings,setngs
settle,setl
settlement,setlmnt
settlements,setlmnts
settles,setls
seventh,sevnth
sexual,sexul
sexually,sexuly
sexuals,sexuls
shadow,shado
shadowing,shadoing
shadows,shados
shall,shal
shallow,shalo
shallows,shalos
shareholder,shareholdr
shareholders,shareholdrs
sheeting,sheetng
shell,shel
shelling,shelng
shells,shels
shelter,sheltr
sheltering,sheltrng
shelters,sheltrs
shifting,shiftng
shock,shok
shocking,shokng
shocks,shoks
shootings,shootngs
shopping,shopng
shore,shor
shores,shors
shortage,shortaj
shortages,shortajs
shoulder,sholdr
shouldering,sholdrng
shoulders,sholdrs
shouting,shoutng
shove,shov
shoves,shovs
shower,showr
showering,showrng
showers,showrs
shrimping,shrimpng
shrinking,shrinkng
shuttle,shutl
shuttles,shutls
sibling,siblng
siblings,siblngs
sick,sik
sigh,sy
sighing,syng
sighs,sys
sight,syt
sighting,sytng
sights,syts
signal,signl
signaling,signlng
signals,signls
signature,signatur
signatures,signaturs
significance,significnce
significantly,synificntly
silver,silvr
similarity,simlarity
similarly,simlrly
simultaneously,simltaneusly
singer,singr
singers,singrs
singing,singng
sinking,sinkng
sister,sistr
sisters,sistrs
skill,skil
skilled,skild
skills,skils
skirting,skirtng
skull,skul
skulls,skuls
sleeping,sleepng
sleeve,sleve
sleeves,sleves
slight,slyt
slightly,slytly
slights,slyts
slow,slo
slowing,sloing
slowly,sloly
slows,slos
smarting,smartng
smell,smel
smelling,smelng
smells,smels
smoothing,smoothng
sneaking,sneakng
snow,sno
snowing,snoing
snows,snos
soaking,soakng
soar,sor
soaring,sorng
soars,sors
soccer,socr
socially,socialy
sock,sok
socks,soks
soften,sofn
